Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PlayerID,AstPer90,G+APer90,GlsPer90,G-PKPer90,G+A-PKPer90,SecondPos
1,Brenden Aaronson,MF,us United States,25.0,1.eng Leeds United,2000.0,1.0,1.0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5bc43860,0.0,0.0,0.0,0.0,0.0,N/A
2,Thelo Aasgaard,MF,no Norway,24.0,1.sct Rangers,2002.0,1.0,1.0,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,c88a28b9,0.0,1.0,1.0,1.0,1.0,N/A
3,Hamza Abdelkarim,FW,eg Egypt,18.0,4.es Barcelona B,2008.0,4.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,057d8f12,0.0,0.0,0.0,0.0,0.0,N/A
4,Hossam Abdelmaguid,DF,eg Egypt,25.0,1.eg Zamalek SC,2001.0,2.0,0.0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,accbfc94,0.0,0.0,0.0,0.0,0.0,N/A
5,Mohamed Abdelmonem,DF,eg Egypt,27.0,1.fr Nice,1999.0,2.0,1.0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bff15d74,0.0,0.0,0.0,0.0,0.0,N/A
6,Ali Abdi,DF,tn Tunisia,32.0,1.fr Nice,1993.0,3.0,3.0,269.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ad7cdb35,0.0,0.0,0.0,0.0,0.0,N/A
7,Saud Abdulhamid,DF,sa Saudi Arabia,26.0,1.fr Lens,1999.0,3.0,3.0,269.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,caa254e4,0.0,0.0,0.0,0.0,0.0,N/A
8,Abdulla Abdullaev,DF,uz Uzbekistan,28.0,1.ae Dibba Al Fujairah,1997.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03053fbf,0.0,0.0,0.0,0.0,0.0,N/A
9,Yusuf Abdurisag,FW,qa Qatar,26.0,1.qa Al-Wakrah,1999.0,2.0,2.0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13c8f40b,0.0,0.0,0.0,0.0,0.0,N/A
10,Husam Abu Dahab,DF,jo Jordan,26.0,1.kw Al-Salmiya SC,2000.0,2.0,2.0,178.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,300aaeb6,0.0,0.0,0.0,0.0,0.0,N/A
11,Mohammad Abu Hasheesh,DF,jo Jordan,31.0,1.iq Al-Karma,1995.0,1.0,0.0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72c2fa7a,0.0,0.0,0.0,0.0,0.0,N/A
12,Mohannad Abu Taha,DF,jo Jordan,23.0,1.iq Al-Quwa Al-Jawiya,2003.0,3.0,3.0,264.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5c4bac6c,0.0,0.0,0.0,0.0,0.0,N/A
13,Mo Abualnadi,DF,jo Jordan,25.0,1.my Selangor FA,2001.0,1.0,1.0,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4bff62e4,0.0,0.0,0.0,0.0,0.0,N/A
14,Yazeed Abulaila,GK,jo Jordan,33.0,1.jo Al-Hussein SC,1993.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5d11fc17,0.0,0.0,0.0,0.0,0.0,N/A
15,Mahmoud Abunada,GK,qa Qatar,26.0,1.qa Al Rayyan SC,2000.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27e7e545,0.0,0.0,0.0,0.0,0.0,N/A
16,Elias Achouri,FW,tn Tunisia,27.0,1.dk FC Copenhagen,1999.0,3.0,0.0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4dd2a0be,0.0,0.0,0.0,0.0,0.0,MF
17,Ché Adams,FW,sct Scotland,29.0,1.it Torino,1996.0,3.0,2.0,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f2bf1b0f,0.0,0.0,0.0,0.0,0.0,N/A
18,Jayden Adams,MF,za South Africa,25.0,1.za Sundowns,2001.0,3.0,2.0,116.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259affab,0.0,0.0,0.0,0.0,0.0,N/A
19,Tyler Adams,MF,us United States,27.0,1.eng Bournemouth,1999.0,4.0,4.0,341.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2b09d998,0.0,0.0,0.0,0.0,0.0,N/A
20,Ricardo Adé,DF,ht Haiti,36.0,1.ec LDU Quito,1990.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a9ee5e81,0.0,0.0,0.0,0.0,0.0,N/A
21,Ibrahim Adel,MF,eg Egypt,25.0,1.dk Nordsjælland,2001.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4869216e,0.0,0.0,0.0,0.0,0.0,N/A
22,Simon Adingra,FW,ci Côte d'Ivoire,24.0,1.fr Monaco,2002.0,1.0,0.0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4dcec659,0.0,0.0,0.0,0.0,0.0,MF
23,Jonas Adjetey,DF,gh Ghana,22.0,1.de Wolfsburg,2003.0,3.0,3.0,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bdbf78cd,0.0,0.0,0.0,0.0,0.0,N/A
24,Michel Aebischer,MF,ch Switzerland,29.0,1.it Pisa,1997.0,4.0,2.0,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f9c927de,0.0,0.0,0.0,0.0,0.0,FW
25,Akram Afif,FW,qa Qatar,29.0,1.qa Al Sadd,1996.0,3.0,3.0,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fd53d9e7,0.0,0.0,0.0,0.0,0.0,MF
26,Emmanuel Agbadou,DF,ci Côte d'Ivoire,28.0,1.tr Beşiktaş,1997.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75f1ed80,0.0,0.0,0.0,0.0,0.0,N/A
27,Rodrigo Aguirre,FW,uy Uruguay,31.0,1.mx América,1994.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b5691f5d,0.0,0.0,0.0,0.0,0.0,N/A
28,Ali Ahmed,MF,ca Canada,25.0,2.eng Norwich City,2000.0,4.0,3.0,234.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540a5be1,0.0,0.0,0.0,0.0,0.0,N/A
29,Homam Ahmed,DF,qa Qatar,26.0,2.es Cultural Leonesa,1999.0,2.0,2.0,122.0,1.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,a62fa158,0.74,0.74,0.0,0.0,0.74,N/A
30,Rayan Aït-Nouri,DF,dz Algeria,25.0,1.eng Manchester City,2001.0,4.0,3.0,284.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9b398aea,0.0,0.0,0.0,0.0,0.0,N/A
31,Kristoffer Ajer,DF,no Norway,28.0,1.eng Brentford,1998.0,5.0,5.0,480.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,a8c0acb7,0.0,0.0,0.0,0.0,0.0,N/A
32,Manuel Akanji,DF,ch Switzerland,30.0,1.it Inter,1995.0,6.0,6.0,600.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89ac64a6,0.0,0.0,0.0,0.0,0.0,N/A
33,Nathan Aké,DF,nl Netherlands,31.0,1.eng Manchester City,1995.0,3.0,2.0,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eaeca114,0.0,0.0,0.0,0.0,0.0,N/A
34,Yunus Akgün,MF,tr Türkiye,25.0,1.tr Galatasaray,2000.0,2.0,1.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1453e3cf,0.0,0.0,0.0,0.0,0.0,N/A
35,Maghnes Akliouche,MF,fr France,24.0,1.fr Monaco,2002.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b625b241,0.0,0.0,0.0,0.0,0.0,N/A
36,Kerem Aktürkoğlu,FW,tr Türkiye,27.0,1.tr Fenerbahçe,1998.0,2.0,2.0,129.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f28659fb,0.0,0.0,0.0,0.0,0.0,N/A
37,Ahmed Alaaeldin,FW,qa Qatar,33.0,1.qa Al Rayyan SC,1993.0,2.0,0.0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74fbbb3c,0.0,0.0,0.0,0.0,0.0,N/A
38,David Alaba,DF,at Austria,33.0,1.es Real Madrid,1992.0,4.0,4.0,275.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,05439de2,0.33,0.33,0.0,0.0,0.33,N/A
39,Kerim Alajbegović,MF,ba Bosnia–Herz,18.0,1.at RB Salzburg,2007.0,4.0,3.0,277.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,f3d9291e,0.0,0.32,0.32,0.32,0.32,N/A
40,Jordy Alcivar,MF,ec Ecuador,26.0,1.ec Independiente,1999.0,1.0,1.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6e98c19f,0.0,0.0,0.0,0.0,0.0,N/A
41,Omar Alderete,DF,py Paraguay,29.0,1.eng Sunderland,1996.0,4.0,4.0,320.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bb08bce9,0.0,0.0,0.0,0.0,0.0,N/A
42,Almoez Ali,FW,qa Qatar,29.0,1.qa Al Duhail SC,1996.0,1.0,0.0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bae045a9,0.0,0.0,0.0,0.0,0.0,N/A
43,Hussein Ali,DF,iq Iraq,24.0,1.pl Pogoń Szczecin,2002.0,2.0,2.0,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b8a919ad,0.0,0.0,0.0,0.0,0.0,N/A
44,Mohanad Ali,FW,iq Iraq,25.0,1.ae Dibba Al Fujairah,2000.0,1.0,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f929049b,0.0,0.0,0.0,0.0,0.0,N/A
45,Taha Ali,FW,se Sweden,27.0,1.se Malmö,1998.0,2.0,0.0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,da4b8a4e,0.0,0.0,0.0,0.0,0.0,MF
46,Khojiakbar Alijonov,MF,uz Uzbekistan,29.0,1.uz Pakhtakor Tashkent FK,1997.0,2.0,1.0,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e53cbd7a,0.0,0.0,0.0,0.0,0.0,N/A
